PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,G01,G02,G02A,G02B,G28,G29,G30,G31,G32,G33,G34,G35A,G35B,G36A,G36B,G37A,G37B,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G48_AREA_OTHER,G49_SQUARE,G49_L,G49_W,G49_CERCLE,G50,G51,G52,G53,G54,G54_OTHER,G55_1,G55_2,G55_3,G55_4,G55_5,G55_6,G55_7,G55_8,G55_9,G55_10,G55_OTHER
Kigali City,Nyarugenge,4,Urban,21,Ordinary HH,262.5804,252.1639912786828,05,180,Yes,Yes,,,,,,,,No,,No,,No,,Strongly Disagree,Disagree,Agree,No Opinion,No Opinion,Strongly Agree,Strongly Disagree,No Opinion,No,,,,,,,,,,,,Cleanliness,,,,,,,,,,,, 
Kigali City,Nyarugenge,4,Urban,22,Ordinary HH,262.5804,252.1639912786828,05,180,Yes,No,,,,,,,,No,,No,,No,,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Don't know,Yes,Yes,Roughly rectangular,,,3,2,,Flat,3,2,Yes,Fuel savings,,,,,,,,,,,, 
Kigali City,Nyarugenge,5,Urban,1,Ordinary HH,35.61450627615064,34.95401376104183,02,120,Yes,No,,,,,,,,Yes,Never,Yes,Never,No,,Strongly Agree,Agree,Don't know,Agree,Agree,Strongly Agree,Agree,Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,5,Urban,2,Ordinary HH,35.61450627615064,34.95401376104183,01,60,No,No,,,,,,,,Yes,Never,Yes,Never,No,,Don't know,Agree,Don't know,Agree,Agree,Agree,Agree,Agree,No,No,Roughly square,,2,,,,Flat,2,1,Yes,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,5,Urban,3,Ordinary HH,35.61450627615064,34.95401376104183,02,260,Yes,No,,,,,,,,Yes,Less than half the time,Yes,More than half the time,No,,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,5,Urban,4,Ordinary HH,35.61450627615064,34.95401376104183,02,180,Yes,Yes,,,,,,,,No,,Yes,About half the time,No,,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,No Opinion,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,5,Urban,5,Ordinary HH,187.074,200.8102328927649,02,60,Yes,No,,,,,,,,No,,No,,No,,No Opinion,Strongly Agree,Don't know,Don't know,Disagree,Disagree,Strongly Disagree,Don't know,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,5,Urban,6,Ordinary HH,187.074,200.8102328927649,02,60,Yes,No,,,,,,,,No,,No,,No,,Disagree,Strongly Agree,Agree,No Opinion,Don't know,Don't know,Don't know,Strongly Disagree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,5,Urban,7,Ordinary HH,187.074,200.8102328927649,01,120,Yes,No,,,,,,,,No,,Yes,About half the time,No,,Agree,Agree,No Opinion,Agree,Agree,Strongly Disagree,Strongly Disagree,Don't know,Yes,Yes,Roughly square,,3,,,,Flat,5,2,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,5,Urban,8,Ordinary HH,187.074,200.8102328927649,02,240,Yes,No,,,,,,,,No,,Yes,About half the time,No,,Agree,Strongly Agree,Disagree,Disagree,Agree,No Opinion,Strongly Disagree,Agree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,5,Urban,9,Ordinary HH,187.074,200.8102328927649,01,120,Yes,No,,,,,,,,Yes,Never,Yes,Never,No,,Disagree,Strongly Agree,No Opinion,Strongly Agree,Strongly Agree,No Opinion,Strongly Disagree,No Opinion,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
