Cluster,HI05,HH_WT,C_hhweight,PROVINCE,DISTRICT,HI04,TYPEHH,C128,C135_6,C135_Other,C144,C144_OTHER,C149A,C149B,C149_OTHER,C129,C130,C131,C132,C133,C134,C135_1,C135_2,C135_3,C135_4,C135_5,C136,C137_1,C137_2,C137_3,C137_4,C137_5,C137_6,C138,C139,C140,C141,C142,C143,C145,C146,C147,C148,C150,C151
58,2,837.5806543509967,958.02058259667,Southern Province,Gisagara,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lantern,Yes,International brands,Yes,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,12,Yes,1,01,Paid,5000,No,Yes,12,,Other technician
58,5,837.5806543509967,958.02058259667,Southern Province,Gisagara,Rural,Ordinary HH,First,Yes,Electric lamp,,,Duration of service too short,No other problem,,Solar lantern,Yes,International brands,No,2,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,1,01,Paid,16000,No,No,3,,Owner
58,6,837.5806543509967,958.02058259667,Southern Province,Gisagara,Rural,Ordinary HH,First,,,,,Maintenance and availability of spare parts,No other problem,,Solar lighting system,Yes,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,7,No,1,02,Paid,30000,No,No,11,Yes,Reseller
58,10,837.5806543509967,958.02058259667,Southern Province,Gisagara,Rural,Ordinary HH,First,Yes,No one,,,No problems,No other problem,,Solar lighting system,Yes,International brands,No,2,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,888,Yes,1,01,Paid,16000,No,Yes,4,,Relative/friend
58,11,837.5806543509967,958.02058259667,Southern Province,Gisagara,Rural,Ordinary HH,First,Yes,No one,,,Duration of service too short,Quality of light,,Solar lighting system,Yes,International brands,No,2,No,,,,,,Have appliances,,,,,,,Solar Lighting product,888,Yes,1,01,Paid,16000,No,Yes,2,,Other technician
59,1,90.62590824175824,94.22188392988902,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,Duration of service too short,No other problem,,Solar lighting system,Yes,International brands,Yes,2,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,1,0102,Paid,20000,No,No,1,,Owner
59,2,90.62590824175824,94.22188392988902,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,Yes,No place to connect on it,,,No problems,No other problem,,Solar lighting system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,7,Yes,1,01,Paid,16000,No,Yes,4,,Owner
59,8,90.62590824175824,94.22188392988902,Southern Province,Gisagara,Rural,HH Surrounding Camp,second,,,Local private organizations (NGO),,No problems,No other problem,,Solar lantern,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,02,For free,,,No,2,,Other technician
59,8,90.62590824175824,94.22188392988902,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,Local private organizations (NGO),,Battery problems,Duration of service too short,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,20,Yes,1,02,For free,,,No,3,No,Reseller
59,10,90.62590824175824,94.22188392988902,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,Yes,No place to connect on it,,,Battery problems,Quality of light,,Solar home system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Home System,888,No,1,01,Paid,15000,No,No,3,No,Reseller
60,6,41.58053684210525,38.33003374210595,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,Yes,No place to connect on it,,,No problems,No other problem,,Solar lighting system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,888,Yes,2,0102,Paid,16000,No,No,5,,Relative/friend
60,8,41.58053684210525,38.33003374210595,Southern Province,Gisagara,Rural,HH Surrounding Camp,third,Yes,Not possible to connect on it,,,No problems,No other problem,,Solar lighting system,No,Component-based/Local,Yes,2,No,,,,,,Have appliances,,,,,,,Solar Lighting product,12,No,1,01,Paid,10000,No,Yes,8,,Other technician
60,8,41.58053684210525,38.33003374210595,Southern Province,Gisagara,Rural,HH Surrounding Camp,second,Yes,Not possible to connect on it,,,No problems,No other problem,,Solar home system,Yes,Component-based/Local,Yes,2,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,20,No,1,01,Paid,23000,No,Yes,12,,Other technician
60,8,41.58053684210525,38.33003374210595,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,Yes,Not possible to connect on it,,,No problems,No other problem,,Solar home system,No,Component-based/Local,Yes,2,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,20,Yes,1,01,Paid,12500,No,Yes,12,,Other technician
60,14,131.6717,133.7738781128988,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,Duration of service too short,No other problem,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,9,02,Paid,25000,No,Yes,3,,Owner
60,17,41.58053684210525,38.33003374210595,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,2,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,1,02,Paid,30000,No,Yes,1,,Owner
61,1,32.60649948717949,34.66676510422474,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,Maintenance and availability of spare parts,Duration of service too short,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,3,02,Paid,29500,No,No,11,No,Owner
61,4,32.60649948717949,34.66676510422474,Southern Province,Gisagara,Rural,HH Surrounding Camp,second,Yes,No place to connect on it,,,Quality of light,No other problem,,Solar lantern,No,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,2,01,Paid,7000,No,No,2,,Owner
61,4,32.60649948717949,34.66676510422474,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,Yes,No place to connect on it,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,2,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,7,Yes,1,0102,Paid,24000,No,Yes,6,,Owner
