PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,F11,F12,F13,F14,F15,F16
Kigali City,Gasabo,13,Rural,6,Ordinary HH,13.4902167539267,12.64790073511937,Gasoline,No,,,,
Kigali City,Gasabo,13,Rural,7,Ordinary HH,13.4902167539267,12.64790073511937,Diesel,No,,,,
Kigali City,Gasabo,13,Rural,8,Ordinary HH,736.1804,790.5446794848733,Paraffin,No,,,,
Kigali City,Gasabo,13,Rural,9,Ordinary HH,13.4902167539267,12.64790073511937,Diesel,No,,,,
Kigali City,Gasabo,13,Rural,10,Ordinary HH,736.1804,790.5446794848733,Biogas,No,,,,
Kigali City,Gasabo,13,Rural,11,Ordinary HH,736.1804,790.5446794848733,Diesel,No,,,,
Kigali City,Gasabo,13,Rural,12,Ordinary HH,736.1804,790.5446794848733,Diesel,No,,,,
Kigali City,Gasabo,13,Rural,13,Ordinary HH,13.4902167539267,12.64790073511937,Paraffin,No,,,,
Kigali City,Gasabo,13,Rural,14,Ordinary HH,736.1804,790.5446794848733,Biogas,No,,,,
Kigali City,Gasabo,13,Rural,15,Ordinary HH,736.1804,790.5446794848733,Biogas,No,,,,
Kigali City,Gasabo,13,Rural,16,Ordinary HH,736.1804,790.5446794848733,Candle,No,,,,
Kigali City,Gasabo,13,Rural,17,Ordinary HH,736.1804,790.5446794848733,Paraffin,No,,,,
Kigali City,Gasabo,13,Rural,18,Ordinary HH,736.1804,790.5446794848733,Biogas,No,,,,
Kigali City,Gasabo,14,Urban,1,Ordinary HH,219.6804,231.3457916231179,Gasoline,No,,,,
Kigali City,Gasabo,14,Urban,2,Ordinary HH,219.6804,231.3457916231179,Kerosene,No,,,,
Kigali City,Gasabo,14,Urban,3,Ordinary HH,219.6804,231.3457916231179,Diesel,No,,,,
Kigali City,Gasabo,14,Urban,4,Ordinary HH,219.6804,231.3457916231179,Gasoline,No,,,,
Kigali City,Gasabo,14,Urban,5,Ordinary HH,219.6804,231.3457916231179,Paraffin,No,,,,
Kigali City,Gasabo,14,Urban,6,Ordinary HH,219.6804,231.3457916231179,Candle,No,,,,
Kigali City,Gasabo,14,Urban,7,Ordinary HH,219.6804,231.3457916231179,Candle,No,,,,
Kigali City,Gasabo,14,Urban,8,Ordinary HH,219.6804,231.3457916231179,Another fuel-based lamp,No,,,,
Kigali City,Gasabo,14,Urban,9,Ordinary HH,219.6804,231.3457916231179,Diesel,No,,,,
Kigali City,Gasabo,14,Urban,10,Ordinary HH,219.6804,231.3457916231179,Biogas,No,,,,
Kigali City,Gasabo,14,Urban,11,Ordinary HH,219.6804,231.3457916231179,Another fuel-based lamp,No,,,,
Kigali City,Gasabo,14,Urban,12,Ordinary HH,219.6804,231.3457916231179,Kerosene,No,,,,
Kigali City,Gasabo,14,Urban,13,Ordinary HH,221.3076622222222,225.8310277137533,Another fuel-based lamp,No,,,,
Kigali City,Gasabo,14,Urban,14,Ordinary HH,219.6804,231.3457916231179,Candle,No,,,,
Kigali City,Gasabo,14,Urban,15,Ordinary HH,219.6804,231.3457916231179,Another fuel-based lamp,No,,,,
Kigali City,Gasabo,14,Urban,16,Ordinary HH,219.6804,231.3457916231179,Paraffin,No,,,,
